Transaction ID;Country;Amount (USD);Transaction Type;Date of Transaction;Person Involved;Industry;Destination Country;Reported by Authority;Source of Money;Money Laundering Risk Score;Shell Companies Involved;Financial Institution;Tax Haven Country
TX0000000001;Brazil;32.675.304.793.768.200;Offshore Transfer;1/1/13 00:00;Person_1101;Construction;USA;True;Illegal;6;1;Bank_40;Singapore
TX0000000002;China;49.657.667.252.882.900;Stocks Transfer;1/1/13 01:00;Person_7484;Luxury Goods;South Africa;False;Illegal;9;0;Bank_461;Bahamas
TX0000000003;UK;9.416.750.048.194.020;Stocks Transfer;1/1/13 02:00;Person_3655;Construction;Switzerland;True;Illegal;1;3;Bank_387;Switzerland
TX0000000004;UAE;38.642.014.124.873.700;Cash Withdrawal;1/1/13 03:00;Person_3226;Oil & Gas;Russia;False;Illegal;7;2;Bank_353;Panama
TX0000000005;South Africa;6.433.784.264.358.780;Cryptocurrency;1/1/13 04:00;Person_7975;Real Estate;USA;True;Illegal;1;9;Bank_57;Luxembourg
TX0000000006;Russia;4.921.056.454.497.000;Property Purchase;1/1/13 05:00;Person_4000;Arms Trade;Brazil;False;Legal;7;3;Bank_436;Cayman Islands
TX0000000007;Switzerland;32.628.179.835.768.600;Property Purchase;1/1/13 06:00;Person_2517;Oil & Gas;Brazil;False;Legal;7;8;Bank_452;Panama
TX0000000008;UAE;4.687.204.610.185.450;Property Purchase;1/1/13 07:00;Person_4310;Real Estate;UK;False;Illegal;3;5;Bank_88;Luxembourg
TX0000000009;Brazil;9.039.059.486.100.080;Cryptocurrency;1/1/13 08:00;Person_8955;Arms Trade;India;False;Illegal;3;6;Bank_87;Panama
TX0000000010;China;41.749.946.760.292.700;Offshore Transfer;1/1/13 09:00;Person_9585;Arms Trade;China;False;Illegal;9;0;Bank_404;Switzerland
TX0000000011;South Africa;2.675.518.772.876.620;Offshore Transfer;1/1/13 10:00;Person_3241;Casinos;South Africa;True;Legal;8;1;Bank_273;Cayman Islands
TX0000000012;Switzerland;33.703.003.498.583.100;Stocks Transfer;1/1/13 11:00;Person_9098;Arms Trade;UK;False;Legal;9;1;Bank_252;Switzerland
TX0000000013;Brazil;729.587.772.546.365;Stocks Transfer;1/1/13 12:00;Person_643;Real Estate;Brazil;False;Illegal;5;7;Bank_190;Cayman Islands
TX0000000014;South Africa;2.973.516.598.392.900;Property Purchase;1/1/13 13:00;Person_3269;Real Estate;Singapore;False;Illegal;6;3;Bank_267;Luxembourg
TX0000000015;UK;36.698.881.917.355.700;Stocks Transfer;1/1/13 14:00;Person_778;Construction;China;False;Legal;1;5;Bank_164;Switzerland
TX0000000016;China;3.740.050.644.812.050;Offshore Transfer;1/1/13 15:00;Person_5538;Real Estate;Brazil;True;Illegal;3;6;Bank_211;Panama
TX0000000017;Switzerland;3.865.495.571.493.540;Stocks Transfer;1/1/13 16:00;Person_8463;Real Estate;South Africa;True;Illegal;6;1;Bank_311;Switzerland
TX0000000018;India;21.686.783.728.701.600;Cash Withdrawal;1/1/13 17:00;Person_5269;Oil & Gas;South Africa;False;Illegal;9;6;Bank_439;Cayman Islands
TX0000000019;South Africa;14.868.770.669.942.800;Cryptocurrency;1/1/13 18:00;Person_2149;Luxury Goods;UK;False;Illegal;5;4;Bank_50;Cayman Islands
TX0000000020;UAE;4.311.216.028.737.350;Cash Withdrawal;1/1/13 19:00;Person_8310;Construction;UK;False;Legal;6;5;Bank_337;Bahamas
TX0000000021;Switzerland;4.207.602.797.465.750;Stocks Transfer;1/1/13 20:00;Person_4043;Luxury Goods;UAE;False;Illegal;4;5;Bank_409;Bahamas
TX0000000022;USA;2.669.181.104.456.690;Property Purchase;1/1/13 21:00;Person_6311;Oil & Gas;Singapore;True;Illegal;1;7;Bank_380;Switzerland
TX0000000023;Brazil;9.705.533.624.485.510;Offshore Transfer;1/1/13 22:00;Person_9762;Luxury Goods;Switzerland;False;Legal;3;2;Bank_471;Luxembourg
TX0000000024;UK;25.560.505.253.292.600;Cash Withdrawal;1/1/13 23:00;Person_5;Casinos;Singapore;False;Illegal;8;5;Bank_490;Luxembourg
TX0000000025;USA;10.016.736.060.022.900;Property Purchase;2/1/13 00:00;Person_587;Real Estate;USA;False;Illegal;10;1;Bank_209;Luxembourg
TX0000000026;Brazil;4.386.548.957.057.510;Property Purchase;2/1/13 01:00;Person_1879;Construction;UAE;False;Illegal;4;9;Bank_405;Panama
TX0000000027;UAE;8.700.640.870.106.570;Stocks Transfer;2/1/13 02:00;Person_4729;Oil & Gas;Russia;False;Legal;2;8;Bank_287;Luxembourg
TX0000000028;Russia;2.998.826.877.435.440;Property Purchase;2/1/13 03:00;Person_516;Real Estate;China;False;Legal;6;4;Bank_323;Luxembourg
TX0000000029;USA;3.747.602.560.696.890;Offshore Transfer;2/1/13 04:00;Person_160;Luxury Goods;USA;False;Illegal;9;7;Bank_266;Singapore
TX0000000030;India;1.930.397.271.175.390;Offshore Transfer;2/1/13 05:00;Person_7905;Construction;Switzerland;False;Illegal;9;9;Bank_461;Bahamas
TX0000000031;Brazil;14.525.281.141.470.700;Property Purchase;2/1/13 06:00;Person_8714;Construction;China;False;Illegal;1;8;Bank_38;Luxembourg
TX0000000032;South Africa;3.292.071.134.376.170;Offshore Transfer;2/1/13 07:00;Person_5732;Arms Trade;India;False;Legal;2;3;Bank_494;Singapore
TX0000000033;UK;42.911.832.300.678.100;Cash Withdrawal;2/1/13 08:00;Person_9688;Casinos;South Africa;False;Illegal;9;7;Bank_113;Cayman Islands
TX0000000034;UAE;4.862.728.176.042.310;Cryptocurrency;2/1/13 09:00;Person_9219;Luxury Goods;UAE;False;Legal;8;9;Bank_135;Bahamas
TX0000000035;Brazil;23.328.448.368.636.500;Stocks Transfer;2/1/13 10:00;Person_9853;Real Estate;Russia;False;Legal;9;8;Bank_342;Bahamas
TX0000000036;Russia;4.907.863.466.723.710;Offshore Transfer;2/1/13 11:00;Person_8363;Luxury Goods;USA;True;Legal;7;9;Bank_285;Singapore
TX0000000037;China;40.717.264.202.766.800;Stocks Transfer;2/1/13 12:00;Person_4599;Construction;USA;False;Illegal;4;6;Bank_390;Singapore
TX0000000038;Switzerland;32.607.767.681.831.700;Cryptocurrency;2/1/13 13:00;Person_3680;Real Estate;Singapore;False;Legal;4;6;Bank_343;Luxembourg
TX0000000039;USA;4.571.245.443.489.970;Offshore Transfer;2/1/13 14:00;Person_4804;Oil & Gas;USA;False;Illegal;1;8;Bank_118;Bahamas
TX0000000040;UK;5.763.217.384.792.400;Cryptocurrency;2/1/13 15:00;Person_8600;Luxury Goods;China;False;Illegal;2;5;Bank_2;Cayman Islands
TX0000000041;South Africa;2.854.182.861.679.870;Cash Withdrawal;2/1/13 16:00;Person_6246;Construction;China;False;Illegal;5;7;Bank_296;Switzerland
